"","x"
"1",2.63905732961526
"2",2.39789527279837
"3",3.46573590279973
"4",3.76120011569356
"5",3.36729582998647
"6",3.3322045101752
"7",2.70805020110221
"8",2.30258509299405
"9",3.04452243772342
"10",3.09104245335832
"11",1.79175946922805
"12",2.63905732961526
"13",2.19722457733622
"14",2.89037175789616
"15",3.3322045101752
"16",4.17438726989564
"17",3.36729582998647
"18",3.63758615972639
"19",3.58351893845611
"20",3.55534806148941
"21",3.49650756146648
"22",2.94443897916644
"23",2.30258509299405
"24",3.04452243772342
"25",2.89037175789616
"26",2.39789527279837
"27",2.99573227355399
"28",2.89037175789616
"29",3.3322045101752
"30",3.43398720448515
"31",4.07753744390572
"32",3.8286413964891
"33",2.19722457733622
"34",2.83321334405622
"35",2.56494935746154
"36",1.6094379124341
"37",2.19722457733622
"38",2.56494935746154
"39",3.02042488614436
"40",3.73766961828337
"41",3.49650756146648
"42",3.66356164612965
"43",3.98898404656427
"44",3.43398720448515
"45",3.73766961828337
"46",3.43398720448515
"47",2.56494935746154
"48",2.83321334405622
"49",3.43398720448515
"50",2.53369681395743
"51",3.76120011569356
"52",2.89037175789616
"53",2.89037175789616
"54",3.17805383034795
"55",3.09104245335832
"56",2.77258872223978
"57",3.25809653802148
"58",3.25809653802148
"59",2.77258872223978
"60",2.30258509299405
"61",2.89037175789616
"62",3.2188758248682
"63",4.00733318523247
"64",4.63472898822964
"65",4.30406509320417
"66",3.58351893845611
"67",3.17805383034795
"68",4.39444915467244
"69",3.95124371858143
"70",2.70805020110221
"71",3.46573590279973
"72",3.46573590279973
"73",1.38629436111989
"74",2.19722457733622
"75",4.14313472639153
"76",3.61091791264422
"77",3.52636052461616
"78",3.2188758248682
"79",3.34356826882552
"80",3.40119738166216
"81",3.3322045101752
"82",3.04452243772342
"83",3.52636052461616
"84",1.79175946922805
"85",2.99573227355399
"86",2.99573227355399
"87",2.484906649788
"88",2.30258509299405
"89",3.43398720448515
"90",3.46573590279973
"91",3.49650756146648
"92",2.89037175789616
"93",2.70805020110221
"94",1.94591014905531
"95",1.79175946922805
"96",0.53062825106217
"97",0.0953101798043326
"98",0.53062825106217
"99",2.23323501485925
"100",0.587786664902119
"101",1.43508452528932
"102",0.182321556793955
"103",1.09861228866811
"104",2.07944154167984
"105",2.2512917986065
"106",2.26176309847379
"107",1.85629799036563
"108",1.79175946922805
"109",1.41098697371026
"110",3.2188758248682
"111",3.43398720448515
"112",3.40119738166216
"113",3.49650756146648
"114",3.46573590279973
"115",3.43398720448515
"116",2.83321334405622
"117",3.03254624667671
"118",2.83321334405622
"119",2.484906649788
"120",2.26176309847379
"121",1.93152141160321
"122",2.4423470353692
"123",3.40119738166216
"124",3.63758615972639
"125",3.46573590279973
"126",3.2188758248682
"127",2.83321334405622
"128",2.99573227355399
"129",2.484906649788
"130",2.39789527279837
"131",1.79175946922805
"132",2.04122032885964
"133",1.64865862558738
"134",2.99573227355399
"135",2.99573227355399
"136",3.73766961828337
"137",3.78418963391826
"138",3.29583686600433
"139",3.46573590279973
"140",3.17805383034795
"141",3.04452243772342
"142",2.19722457733622
"143",1.79175946922805
"144",2.94443897916644
"145",2.21920348405499
"146",3.95124371858143
"147",4.85203026391962
"148",4.27666611901606
"149",4.83628190695148
"150",4.18965474202643
"151",3.43398720448515
"152",3.25809653802148
"153",3.55534806148941
"154",3.3322045101752
"155",3.29583686600433
"156",2.99573227355399
"157",3.04452243772342
"158",3.36729582998647
"159",3.49650756146648
"160",4.04305126783455
"161",3.49650756146648
"162",3.2188758248682
"163",3.09104245335832
"164",3.04452243772342
"165",2.63905732961526
"166",3.25809653802148
"167",3.17805383034795
"168",2.77258872223978
"169",3.02529107579554
"170",3.09104245335832
"171",4.00733318523247
"172",3.49650756146648
"173",2.99573227355399
"174",3.13549421592915
"175",3.39047341829918
"176",3.2188758248682
"177",3.0722534031284
"178",2.5959261232975
"179",2.89037175789616
"180",2.56494935746154
"181",1.94591014905531
"182",2.99573227355399
"183",3.63758615972639
"184",4.39444915467244
"185",3.43398720448515
"186",3.25809653802148
"187",3.13549421592915
"188",3.13549421592915
"189",3.17805383034795
"190",2.484906649788
"191",2.07944154167984
"192",1.38629436111989
"193",2.89037175789616
"194",2.77258872223978
"195",3.78418963391826
"196",2.99573227355399
"197",2.89037175789616
"198",2.89037175789616
"199",3.22369618822665
"200",3.09104245335832
"201",2.83321334405622
"202",3.13549421592915
"203",3.04452243772342
"204",2.68784749378469
"205",2.66025953726586
"206",3.40119738166216
"207",3.97029191355212
"208",4.02535169073515
"209",3.76120011569356
"210",3.47261531031961
"211",3.73766961828337
"212",3.55534806148941
"213",3.55534806148941
"214",2.95860137521578
"215",2.484906649788
"216",2.94443897916644
"217",2.77258872223978
"218",2.90635446240277
"219",3.5792180361544
"220",4.06044301054642
"221",3.87120101090789
"222",3.47258737774883
"223",3.8286413964891
"224",3.40119738166216
"225",3.46573590279973
"226",2.63905732961526
"227",2.56494935746154
"228",2.77258872223978
"229",2.70805020110221
"230",2.56494935746154
"231",2.63905732961526
"232",4.17438726989564
"233",4.74493212836325
"234",4.02535169073515
"235",3.58351893845611
"236",3.04452243772342
"237",3.36729582998647
"238",2.99573227355399
"239",3.40119738166216
"240",2.99573227355399
"241",3.93182563272433
"242",4.26267987704132
"243",4.36246147917904
"244",4.51085950651685
"245",3.74431416100204
"246",3.12544388007565
"247",3.3091990449795
"248",3.61091791264422
"249",3.46573590279973
"250",2.30258509299405
"251",2.83321334405622
"252",2.30258509299405
"253",2.15124821819409
"254",4.08176422658619
"255",3.96946030038697
"256",3.63540329183179
"257",3.65292429680947
"258",3.04593960766785
"259",3.16965286275397
"260",2.96334746097453
"261",2.55490624504348
"262",2.07764719740659
"263",1.80332051667719
"264",1.6894783110342
"265",1.92618930313415
"266",2.93752853967973
"267",4.05308602535037
"268",4.32568218205334
"269",3.78690602657901
"270",3.69096529113089
"271",3.54552118349101
"272",3.32666016596481
"273",3.73209973084976
"274",3.52230428226065
"275",2.99256328605298
"276",2.36278686205144
"277",2.31406523188407
"278",2.5950247203254
"279",3.57085283736112
"280",3.54696563572706
"281",3.43738223426017
"282",2.93826372339163
"283",3.33682880588536
"284",3.20583737303552
"285",2.70123834832333
"286",2.06637278532233
"287",1.83031509159402
"288",1.67522021340675
"289",1.87476905579136
"290",2.55749858082655
"291",3.14080181961521
"292",3.99216430046671
"293",3.24492796362032
"294",3.30331849490434
"295",3.73933698378614
"296",3.44130686438215
"297",3.65474105551163
"298",3.18919974806897
"299",2.50041553038474
"300",2.1561130205149
"301",2.35125336187455
"302",2.94294764725202
"303",3.3837806062596
"304",3.77881687324357
"305",3.04322781966031
"306",2.81117364538212
"307",3.19499673486857
"308",2.9572886734933
"309",2.44128042472052
"310",1.84798816037783
"311",1.66353750317206
"312",1.54300938653288
"313",2.38281091780646
"314",3.54373074977082
"315",4.73225417085145
"316",3.8163260490431
"317",3.88803929454844
"318",3.15741292766441
"319",3.67677423639164
"320",3.27443381304805
"321",3.37133393767856
"322",2.82044990227514
"323",2.30213348640514
"324",2.21044793870465
"325",2.2482756724739
"326",2.68775620250212
"327",3.57717879470371
"328",4.26539416544163
"329",3.79765434651431
"330",3.2063288846281
"331",3.6228784861851
"332",3.45453770015735
"333",3.09399548540952
"334",2.4897321764299
"335",2.03782457898396
"336",1.79399615107259
"337",2.00686405579505
"338",2.38852015981213
"339",3.07258929243277
"340",3.29244189045765
"341",3.6230944231294
"342",2.81522433349832
"343",3.16330053014319
"344",3.10682480201592
"345",2.62206833091582
"346",1.90028582405957
"347",1.54631832514692
"348",1.53296021415139
"349",1.63577936818729
"350",1.94717743753045
"351",2.51549249807676
"352",2.7582939389409
"353",3.28927949995656
"354",2.85635838228002
"355",3.1987640553122
"356",2.9677574091216
"357",2.25962495424334
"358",1.77270941560672
"359",1.59021361291384
"360",1.58904591794688
"361",2.24259658343717
"362",2.75735551294568
"363",2.81194669421293
"364",2.79659389363985
"365",3.09615621102913
"366",3.25784550491276
"367",3.02861417214712
"368",2.51067814293961
"369",2.11112893169147
"370",1.65546818410079
"371",1.45096918481677
"372",1.39360210381522
"373",1.90066670237331
"374",4.13643721148679
"375",4.16267460888311
"376",3.9729856251075
"377",3.32551449481998
"378",3.24993625224096
"379",3.19342550811653
"380",3.10566310155338
"381",2.94273092571874
"382",2.5883258618483
"383",2.02133685840126
"384",1.76209375759257
"385",2.19478266224439
"386",3.65710494901475
"387",4.08000980882008
"388",3.60354621371966
"389",3.21920377108796
"390",3.16458857939438
"391",3.43442581795761
"392",3.36212732382646
"393",3.33676552150277
"394",2.77361944086679
"395",2.17458125240968
"396",1.79633233107319
"397",2.01622726679782
"398",3.16985856878631
"399",4.15801764549977
"400",3.69812394315748
"401",3.47854717457861
"402",2.93352880184311
"403",2.94965479801927
"404",2.80623485581807
"405",2.60921045601656
"406",1.96784178519684
"407",1.5304213351302
"408",1.14400192878431
"409",1.97667453760419
"410",2.49055794444445
"411",3.48623357204933
"412",4.06517902122378
"413",3.26145538326407
"414",2.96463874547077
"415",2.9891547209851
"416",2.87405501215687
"417",2.45032663225023
"418",1.78813485064229
"419",1.40047989699939
"420",1.06696881586082
"421",2.11750341009652
"422",2.41777282490406
"423",3.85767598244108
"424",3.70683150148987
"425",3.33267808377712
"426",3.28612086388206
"427",3.10587506388574
"428",3.20930526238897
"429",2.77904485572254
"430",1.94132207756463
"431",1.50555457289023
"432",1.1579699893269
"433",1.82304073662346
"434",2.15233728341635
"435",3.25566199808762
"436",2.82406082931129
"437",3.01312227771217
"438",2.48943743787644
"439",2.49605819144215
"440",1.85861436728183
"441",1.1747818324237
"442",1.00701728976614
"443",0.930280274162909
"444",0.632884631068896
"445",2.16754072094736
"446",2.7773410132629
"447",4.18261998720352
"448",3.54019161640716
"449",4.00749858371456
"450",3.62376629742933
"451",3.23146990978926
"452",3.08223530190341
"453",3.0457387626589
"454",2.57803034391512
"455",1.97122269974715
"456",1.42386042799942
"457",2.17041903881562
"458",2.38163588335211
"459",2.7884593395198
"460",2.5802540765525
"461",2.36576148804369
"462",1.9775182839088
"463",1.91102449327191
"464",1.2297485955943
"465",0.920159577992765
"466",0.791039796996993
"467",0.664710512230995
"468",0.447053925280311
"469",1.14864432814358
"470",1.79610243976021
"471",2.79720223244346
"472",2.73359970700075
"473",3.09187363461749
"474",3.14648308985004
"475",2.09779731728553
"476",1.63323639862843
"477",1.57109176968054
"478",1.66827824467361
"479",1.55165046319119
"480",1.0005096081391
"481",1.5780134786523
"482",2.02143802257975
"483",4.15201824315287
"484",3.84211024624853
"485",3.38347698606366
"486",3.08679694347191
"487",3.13165308848627
"488",2.91393127342317
"489",2.95438822633168
"490",2.41920832391282
"491",1.79642210081545
"492",1.25221353570026
"493",1.84193044670973
"494",3.19506291889522
"495",3.61557060534073
"496",4.2542663293576
"497",3.85140883379908
"498",3.19042521884529
"499",3.0992216718267
"500",2.8430342881132
"501",2.69905400887853
"502",1.95981742059451
"503",1.53516317651722
"504",1.7354468146515
"505",2.04047824748252
"506",3.12499656744032
"507",3.68482333170673
"508",3.46905688528943
"509",4.18348144751743
"510",3.05504283269326
"511",2.86363497552131
"512",3.08307188918863
"513",3.15738029094389
"514",2.44715185411919
"515",1.77344889691083
"516",1.54741924989577
"517",1.59583795576256
"518",2.47784693913836
"519",3.90073949935621
"520",3.45674387996111
"521",2.95688177452496
"522",2.59682311017385
"523",2.71180352168256
"524",2.4602483415351
"525",1.9024639853805
"526",1.46299722290009
"527",1.30482123073427
"528",1.00372915290065
"529",2.66779535147671
"530",2.2541086234018
"531",3.17943804677866
"532",3.27824559450924
"533",3.12219349794949
"534",2.97535261875221
"535",2.73352796868533
"536",2.55563982118118
"537",2.24019958766076
"538",1.57841193325751
"539",1.24795333470718
"540",0.933885895924547
"541",1.50614979228218
"542",2.97530193852349
"543",4.09581476006955
"544",3.87856053876415
"545",4.1411582944011
"546",3.10044198117401
"547",3.04703370358837
"548",3.16296863888096
"549",3.07684192742262
"550",2.74845451716888
"551",2.10773966001532
"552",1.47022789953844
"553",2.16437631390069
"554",2.76465450685904
"555",4.08768195314651
"556",4.24601568347007
"557",3.71614566956123
"558",3.11213825925406
"559",3.28415484675481
"560",3.06839801472598
"561",2.88826078780668
"562",2.41284761357924
"563",1.93624038049197
"564",1.40631161971289
"565",1.92697712498964
"566",2.18015859228002
"567",2.60628179522983
"568",3.09991228278213
"569",2.75544290334431
"570",2.55862040215654
"571",2.82021437020988
"572",2.61867198290973
"573",1.9298100045756
"574",1.34598281089583
"575",1.16859343199815
"576",0.814975701300671
"577",1.52109711775329
"578",3.83594773791144
"579",3.74086823620289
"580",3.49565242202868
"581",3.69699574604561
"582",2.92736373063561
"583",2.9641375936382
"584",2.84030738844807
"585",2.14439399704345
"586",1.54854298063126
"587",1.28668713103747
"588",0.944391065539368
"589",1.53248696364207
"590",2.62397574631849
"591",3.20030278360426
"592",3.49643286498139
"593",3.41833049909091
"594",3.02152253322149
"595",3.00043588723013
"596",2.72700404137399
"597",2.65194865474739
"598",2.13783715748589
"599",1.61939338708395
"600",1.26579387085418
"601",1.75290227555429
"602",2.14958738839407
"603",2.78901510616701
"604",2.75379788003649
"605",2.81523612544947
"606",2.42775778360812
"607",2.82592850172868
"608",2.34216590375955
"609",1.61759894226589
"610",1.17467283361474
"611",1.01688633976866
"612",0.768888131118945
