"","x"
"1",3.21486780347066
"2",3.12236492448736
"3",3.29212628660779
"4",3.10906095886099
"5",3.11794990627824
"6",3.04452243772342
"7",3.48431228837266
"8",4.05525717351405
"9",3.77045944110636
"10",3.32503602069659
"11",3.09557760852371
"12",3.13113691056019
"13",2.95491027903374
"14",2.99071973173045
"15",3.00071981506503
"16",3.03974915897077
"17",3.07731226054641
"18",3.2188758248682
"19",3.76815263500844
"20",4.29592393562047
"21",4.60216567696779
"22",4.23410650459726
"23",3.62700405039585
"24",3.43720781918519
"25",3.16547504814109
"26",3.13549421592915
"27",3.03495298670727
"28",3.05400118167797
"29",3.02529107579554
"30",3.06339092202781
"31",3.38777436133001
"32",3.92395157629342
"33",3.58351893845611
"34",3.16124671203156
"35",2.96010509591084
"36",2.89591193827178
"37",2.92852352386054
"38",2.94968833505258
"39",2.75366071235426
"40",2.89591193827178
"41",2.90142159408275
"42",3.04927304048202
"43",3.14415227867226
"44",3.87120101090789
"45",4.50755735712109
"46",4.56226268497681
"47",4.00003388275086
"48",3.5918177412708
"49",3.29953372788566
"50",3.1267605359604
"51",3.04927304048202
"52",3.04927304048202
"53",3.03013370027132
"54",3.16124671203156
"55",3.46573590279973
"56",3.76120011569356
"57",3.62700405039585
"58",3.42100000895834
"59",3.16547504814109
"60",2.98568193770049
"61",3.24649099190117
"62",3.24259235148552
"63",3.48124008933569
"64",3.36384159511839
"65",3.44680789291421
"66",3.29212628660779
"67",3.54961738678043
"68",4.37952350445576
"69",4.45782959808938
"70",4.47278099794235
"71",4.00186370942794
"72",3.73050112880476
"73",3.39114704580865
"74",3.39450839351136
"75",3.41444260841218
"76",3.40452517175483
"77",3.25037449192757
"78",3.26956893918372
"79",3.52929738428947
"80",4.23555473077362
"81",4.2780540442909
"82",4.39444915467244
"83",4.03246915850401
"84",3.63230910262554
"85",3.39450839351136
"86",3.27336401015227
"87",3.20680324363393
"88",3.02042488614436
"89",3.11351530921037
"90",3.09104245335832
"91",3.44361809754611
"92",3.89182029811063
"93",3.89589362349826
"94",3.41114771251532
"95",3.20274644293832
"96",3.11351530921037
"97",3.06805293513362
"98",2.86789890204411
"99",2.86789890204411
"100",2.7408400239252
"101",2.75366071235426
"102",2.75366071235426
"103",2.75366071235426
"104",3.01062088604774
"105",2.79116510781272
"106",2.64617479738412
"107",2.54160199346455
"108",2.484906649788
"109",2.52572864430826
"110",2.64617479738412
"111",3.03013370027132
"112",2.92852352386054
"113",2.98061863574394
"114",3.11351530921037
"115",3.23474917402449
"116",3.93573953204546
"117",4.19720194766181
"118",3.72086249996699
"119",3.45315712059287
"120",3.20680324363393
"121",3.19867311755068
"122",3.08648663682246
"123",2.92316158071916
"124",2.90690105984738
"125",2.83321334405622
"126",2.92852352386054
"127",3.37758751602302
"128",3.81330703248899
"129",3.70622809244855
"130",3.27714473299218
"131",3.08190996979504
"132",2.95491027903374
"133",2.96010509591084
"134",3.10458667846607
"135",2.90142159408275
"136",3.10458667846607
"137",3.20680324363393
"138",3.23080439573347
"139",3.77505715035499
"140",4.16200321069592
"141",3.89385903480047
"142",3.54961738678043
"143",3.26193531432865
"144",3.1904763503465
"145",3.1267605359604
"146",3.54385368206368
"147",3.68135118769314
"148",3.36384159511839
"149",3.66356164612965
"150",3.55820113047182
"151",3.61361696961339
"152",4.0876555740713
"153",4.78749174278205
"154",4.78749174278205
"155",4.68213122712422
"156",3.90197266957464
"157",3.61091791264422
"158",3.49953328238302
"159",3.39785848039664
"160",3.31418600467253
"161",3.25037449192757
"162",3.13113691056019
"163",3.42751468997953
"164",4.07753744390572
"165",4.08092154188996
"166",3.72086249996699
"167",3.59731226058845
"168",3.44680789291421
"169",3.28091121578765
"170",3.24649099190117
"171",3.3178157727231
"172",3.26575941076705
"173",3.07269331469012
"174",3.18221184049661
"175",3.62700405039585
"176",4.26969744969996
"177",4.32545628318549
"178",4.10758978897212
"179",3.72328088083127
"180",3.39114704580865
"181",3.44041809481544
"182",3.38439026334577
"183",3.34286180464919
"184",3.42751468997953
"185",3.21486780347066
"186",3.51452606696916
"187",3.64805745959368
"188",4.16666522380173
"189",4.44382703557933
"190",4.06731588983418
"191",3.61091791264422
"192",3.39785848039664
"193",3.19458313229916
"194",3.10009228887823
"195",3.11794990627824
"196",3.02042488614436
"197",2.94968833505258
"198",3.04927304048202
"199",3.28091121578765
"200",3.85014760171006
"201",3.93963817246112
"202",3.63758615972639
"203",3.32503602069659
"204",3.20274644293832
"205",3.09104245335832
"206",3.2846635654062
"207",3.24259235148552
"208",3.33932197794407
"209",3.21486780347066
"210",3.35340671782581
"211",3.8155121050473
"212",4.25561270981822
"213",4.62497281328427
"214",4.33859707674655
"215",3.8416005411316
"216",3.62966009445396
"217",3.39450839351136
"218",3.37758751602302
"219",3.30688670219091
"220",3.58073729549423
"221",3.3499040872746
"222",3.34286180464919
"223",3.8177123259569
"224",4.22097721315547
"225",4.77912349311153
"226",4.5685062016165
"227",4.00733318523247
"228",3.7635229971097
"229",3.45315712059287
"230",3.48737507790321
"231",3.25037449192757
"232",3.44361809754611
"233",3.63758615972639
"234",3.53805656437935
"235",3.68887945411394
"236",4.10594369806545
"237",4.46935046284556
"238",4.41763506214125
"239",3.96271611974366
"240",3.72086249996699
"241",3.81109708683819
"242",4.00551334851548
"243",3.88977739648083
