"","x"
"1",2.09186406167839
"2",2.16332302566054
"3",2.67414864942653
"4",2.40694510831829
"5",2.42480272571829
"6",2.06686275947298
"7",2.29253475714054
"8",2.89037175789616
"9",2.52572864430826
"10",1.68639895357023
"11",1.93152141160321
"12",2.23001440015921
"13",1.56861591791385
"14",1.91692261218206
"15",2.41591377830105
"16",2.34180580614733
"17",2.18605127673809
"18",2.46809953147162
"19",2.53369681395743
"20",3.03974915897077
"21",3.37758751602302
"22",3.32143241319329
"23",2.9391619220656
"24",2.47653840011748
"25",1.93152141160321
"26",2.05412373369555
"27",2.76631910922619
"28",2.05412373369555
"29",2.15176220325946
"30",1.82454929205105
"31",2.2512917986065
"32",2.79116510781272
"33",2.46809953147162
"34",2.66025953726586
"35",2.68102152871429
"36",1.94591014905531
"37",1.48160454092422
"38",1.91692261218206
"39",2.11625551480255
"40",2.4932054526027
"41",2.52572864430826
"42",2.18605127673809
"43",2.07944154167984
"44",2.41591377830105
"45",3.24259235148552
"46",3.36384159511839
"47",2.84490938381941
"48",2.4932054526027
"49",2.23001440015921
"50",2.30258509299405
"51",2.50143595173921
"52",2.41591377830105
"53",2.54160199346455
"54",2.21920348405499
"55",2.15176220325946
"56",2.50959926237837
"57",2.55722731136763
"58",2.30258509299405
"59",2.34180580614733
"60",2.10413415427021
"61",2.33214389523559
"62",2.69462718077007
"63",2.53369681395743
"64",2.67414864942653
"65",2.57261223020711
"66",2.4932054526027
"67",2.50959926237837
"68",2.43361335540045
"69",3.37416870927424
"70",2.86789890204411
"71",2.95491027903374
"72",2.61739583283408
"73",2.40694510831829
"74",2.64617479738412
"75",3.08648663682246
"76",2.79116510781272
"77",2.46809953147162
"78",2.18605127673809
"79",1.90210752639692
"80",2.85647020622048
"81",3.32862668882732
"82",3.30688670219091
"83",2.87356463957978
"84",2.50959926237837
"85",2.31253542384721
"86",2.54160199346455
"87",2.28238238567653
"88",2.60268968544438
"89",2.41591377830105
"90",2.39789527279837
"91",2.30258509299405
"92",2.77881927199042
"93",2.57261223020711
"94",2.33214389523559
"95",2.24070968927596
"96",2.11625551480255
"97",1.90210752639692
"98",1.80828877117927
"99",1.98787434815435
"100",1.6094379124341
"101",1.62924053973028
"102",1.41098697371026
"103",1.06471073699243
"104",1.41098697371026
"105",1.02961941718116
"106",0.832909122935104
"107",0.78845736036427
"108",0.587786664902119
"109",1.45861502269952
"110",2.00148000021012
"111",2.58776403522771
"112",2.11625551480255
"113",2.18605127673809
"114",2.16332302566054
"115",1.90210752639692
"116",2.78501124223834
"117",3.05870707271538
"118",2.55722731136763
"119",2.45100509811232
"120",1.02961941718116
"121",1.50407739677627
"122",2.15176220325946
"123",2.4932054526027
"124",2.50959926237837
"125",1.82454929205105
"126",1.82454929205105
"127",1.85629799036563
"128",2.68784749378469
"129",2.77258872223978
"130",2.09186406167839
"131",2.24070968927596
"132",2.15176220325946
"133",2.37954613413017
"134",1.58923520511658
"135",2.23001440015921
"136",2.45100509811232
"137",2.21920348405499
"138",1.88706964903238
"139",2.33214389523559
"140",2.96010509591084
